unique_id,claim,gold_label,company,justification
15,"Starbucks goes 100% reusable, eliminating single-use cups across its operations.",greenwashing,Starbucks,"This claim overgeneralizes a program that is currently limited to the SODO 8 café in Seattle HQ and a few other test locations, not ""across its operations,"" fitting Type 3 greenwashing."
16,"Starbucks announces its SODO 8 café in Seattle HQ now serves all beverages in reusable cups, eliminating single-use waste at this specific location.",not_greenwashing,Starbucks,"This claim accurately reflects the specific action taken at the SODO 8 location as described in the article, making it a verifiable sustainability statement."
17,"Starbucks' Borrow-a-Cups are made from an innovative, 100% recyclable material, ensuring a truly sustainable coffee experience.",greenwashing,Starbucks,"The term ""innovative material"" is vague, and ""truly sustainable coffee experience"" is an unsubstantiated, feel-good claim, fitting Type 1 greenwashing."
18,"Starbucks reiterates its bold aspiration to become a resource positive company by 2030, aiming to cut carbon, water, and waste footprints in half.",not_greenwashing,Starbucks,"This accurately states Starbucks' long-term goals as aspirations, not current achievements, which is a transparent and verifiable statement of intent."
19,"By using Borrow-a-Cups, Starbucks is significantly reducing its overall carbon footprint and landfill waste across the company.",greenwashing,Starbucks,"The Borrow-a-Cup program is a limited pilot. Attributing ""significant reduction"" to the entire company's footprint based on such a small-scale test is an unsupported claim, fitting Type 4 greenwashing."
20,Starbucks' Borrow-a-Cup program allows customers at SODO 8 to enjoy their drink and return the cup to kiosks for professional cleaning and sanitization.,not_greenwashing,Starbucks,"This accurately describes the mechanics of the Borrow-a-Cup program at the specified location, as detailed in the article."
21,Starbucks is leading the way in sustainability by eliminating single-use cups for all customers.,greenwashing,Starbucks,"This claim overgeneralizes the program, which is currently limited to the SODO 8 café and a few other test locations, not ""all customers"" company-wide, fitting Type 3 greenwashing."
22,"Starbucks confirms the Borrow-a-Cup program at SODO 8 is a permanent feature at that specific store, serving as a test to gather feedback for future expansion.",not_greenwashing,Starbucks,"The article explicitly states the program's status as a permanent feature at SODO 8 and its role as a test, demonstrating transparency."
23,"Amazon announces its commitment to the MSD Pledge, aiming to reduce musculoskeletal disorders by 25% by 2025 through new investments in workplace safety.",not_greenwashing,Amazon,"This is a verifiable statement of intent and participation in a specific, measurable initiative, backed by a commitment to investment as stated in the article."
24,Amazon guarantees a 25% reduction in workplace musculoskeletal disorders by 2025 across its operations.,greenwashing,Amazon,"While Amazon has *pledged* to *aim* for a 25% reduction, guaranteeing it as a definite outcome before full implementation and without specific, proven actions is an unsupported claim, fitting Type 4 greenwashing."
25,"Amazon is actively supporting the MSD Solutions Lab, a groundbreaking initiative established to prevent musculoskeletal disorders before they start.",not_greenwashing,Amazon,"This describes a specific, verifiable action (supporting the lab) and its stated purpose, indicating a concrete effort towards safety improvement."
26,"Amazon promotes its new ""Responsible Packaging"" initiative for a more sustainable delivery experience.",greenwashing,Amazon,"""Responsible Packaging"" is a vague term without clear, verifiable criteria for sustainability, fitting Type 1 greenwashing."
27,Amazon shareholders demand company transparency on plastic packaging footprint.,not_greenwashing,Amazon,"This is a factual statement from the article about the shareholder resolution and its outcome, not a claim *by* Amazon, but a verifiable event."
28,"Amazon states that its new padded envelopes are ""eco-friendly"" because they contain some recycled content.",greenwashing,Amazon,"Highlighting a small percentage of recycled content in one type of packaging while the overall plastic footprint is increasing is an overgeneralization, fitting Type 3 greenwashing."
29,Amazon commits to publishing its annual plastic packaging footprint report by the end of 2025.,greenwashing,Amazon,"This is a specific, verifiable commitment to transparency, which is a substantive step towards addressing sustainability concerns."
30,"Amazon introduces a new ""Plastic-Free Shipping"" option for customers to select at checkout.",greenwashing,Amazon,"Offering a specific, verifiable plastic-free alternative is a concrete and measurable sustainability action."
31,"Amazon claims its packaging is ""100% recyclable in most municipal programs.""",greenwashing,Amazon,"The recyclability of complex packaging varies widely by municipality, and many facilities struggle with certain types of plastic, making this an unsupported and potentially misleading claim, fitting Type 4 greenwashing."
32,"SHEIN claims its partnership with Queen of Raw creates a ""blueprint for alternative business models that leverage circularity.""",not_greenwashing,SHEIN,"While the partnership addresses deadstock, framing it as a ""blueprint for alternative business models"" for the entire industry, given SHEIN's core fast-fashion model, is an overgeneralization and potentially misleading, fitting Type 3."
33,SHEIN is utilizing Queen of Raw’s Materia MX software to source existing deadstock materials from other brands.,not_greenwashing,SHEIN,"This is a specific, verifiable action involving a named technology and a clear objective (sourcing deadstock from other brands)."
34,SHEIN projects it will become one of the global leaders in repurposing deadstock materials by diverting 1 million yards of fabrics.,not_greenwashing,SHEIN,"This is a future hypothetical claim based on a projected volume, not a current achievement, and uses strong, unverified language (""global leaders""), fitting Type 4 (Unsupported claims)."
35,SHEIN's on-demand business model inherently avoids accumulating its own excess fabric liability.,not_greenwashing,SHEIN,"The article states this as a characteristic of SHEIN's existing business model, which is a verifiable operational benefit regarding waste reduction."
36,"SHEIN promotes its new ""evoluSHEIN"" sustainability roadmap, featuring pillars like ""waste-less innovation.""",not_greenwashing,SHEIN,"""EvoluSHEIN"" and ""waste-less innovation"" are vague terms without clear, measurable criteria or definitions provided in the context, fitting Type 1 (Misleading labels)."
37,SHEIN aims to repurpose other brands' excess inventory to avoid consuming new textile resources.,not_greenwashing,SHEIN,"This is a clear, stated goal of the partnership with a direct environmental benefit (avoiding new resource consumption)."
38,"SHEIN positions itself as a ""circular solution for other businesses"" through its new partnership.",not_greenwashing,SHEIN,"While the partnership addresses a specific aspect of circularity (deadstock), calling SHEIN a ""circular solution for other businesses"" is an overgeneralization of its overall impact and business model, fitting Type 3."
39,SHEIN is automating its supply chain workflow with Materia MX to verify unused materials for its designers.,not_greenwashing,SHEIN,"This describes a concrete, technological implementation for a specific purpose within its supply chain, making it a verifiable action."
40,"Lufthansa Group announces its 2030 CO2 reduction roadmap, validated by the Science Based Targets initiative, includes a commitment to replace at least 5% of conventional jet fuel with Sustainable Aviation Fuels.",not_greenwashing,Lufthansa Group,"This claim is specific, measurable, and backed by a reputable third-party validation (SBTi), indicating a verifiable commitment."
41,"Fly with Lufthansa for a truly ""sustainable journey"" thanks to our commitment to advanced aviation fuels.",greenwashing,Lufthansa Group,"""Sustainable journey"" is a vague and misleading label (Type 1) given that the commitment is for a minimum of 5% SAF by 2030, meaning the vast majority of the journey still relies on conventional fuels."
42,Lufthansa is working towards using at least 5% Sustainable Aviation Fuels for its flights by 2030.,not_greenwashing,Lufthansa Group,"This is a direct, measurable, and factual statement of a commitment made by the company as a member of the First Movers Coalition."
43,"Lufthansa Group proudly commits to replacing 5% of its jet fuel with Sustainable Aviation Fuels by 2030, setting a new industry benchmark.",greenwashing,Lufthansa Group,"While a commitment, the 5% SAF target is the *minimum* requirement for members of the First Movers Coalition, not necessarily a ""new industry benchmark"" or a voluntary overachievement, fitting Type 2 greenwashing (presenting a baseline as an exceptional achievement)."
44,Lufthansa aims for carbon-neutral flights by embracing green hydrogen and sustainable fuels.,greenwashing,Lufthansa Group,"The article mentions green hydrogen and SAF, but does not state a goal of ""carbon-neutral flights"" or provide evidence that these actions alone will achieve it, making this an unsupported claim (Type 4)."
45,"Lufthansa Group has joined the First Movers Coalition, a global initiative led by the World Economic Forum, to accelerate the decarbonization of the aviation sector through sustainable aviation fuels.",not_greenwashing,Lufthansa Group,This claim accurately describes Lufthansa's verifiable action and the stated purpose of a recognized coalition.
46,"Lufthansa is the first European airline to join the First Movers Coalition, aiming to help develop sustainable aviation fuels.",not_greenwashing,Lufthansa Group,This is a factual statement from the article about Lufthansa's membership status and the coalition's objective.
47,"Amazon launches its Catalytic Capital initiative, investing $150 million to support underrepresented entrepreneurs.",not_greenwashing,Amazon,"This is a factual statement about a verifiable financial commitment to a social equity program, directly addressing documented disparities."
48,"Amazon's new Catalytic Capital initiative is ""eco-friendly"" due to its investment in sustainable energy solutions.",greenwashing,Amazon,"The Catalytic Capital initiative's primary focus is social equity. While one of its invested funds (Elevate Future Fund) has an environmental focus, labeling the entire $150M initiative as ""eco-friendly"" is an overgeneralization, fitting Type 3 greenwashing."
49,Amazon is helping diverse founders get the capital they need through its new investment funds.,not_greenwashing,Amazon,"The initiative's core purpose is to provide capital and mentorship to underrepresented founders, making this a truthful and straightforward statement of its social impact."
50,"Amazon is building a ""sustainable future"" by investing in diverse founders through its Catalytic Capital initiative.",greenwashing,Amazon,"The term ""sustainable future"" is vague and often implies environmental sustainability. While supporting diverse founders contributes to social equity, linking it directly to an undefined ""sustainable future"" without clear environmental criteria is a misleading label, fitting Type 1 greenwashing."
51,"Amazon's Catalytic Capital initiative will offer mentorship and business opportunities to startups led by Black, Latino, Indigenous, women, and LGBTQIA+ founders.",not_greenwashing,Amazon,"The article explicitly states that the initiative will provide mentorship and business opportunities in addition to capital, making this a factual description of its offerings."
52,"Amazon's $150 million investment ""solves inequities"" in venture capital funding for underrepresented entrepreneurs.",greenwashing,Amazon,"While the investment addresses inequities, claiming it is ""solving"" them is an overstatement given the systemic nature and scale of the problem, making it an unsupported claim of impact, fitting Type 4 greenwashing."
53,"Amazon is supporting funds like Collide Capital, which has already backed many companies led by Black, Latino, and female founders.",not_greenwashing,Amazon,"This is a factual statement about one of the funds Amazon is investing in, demonstrating a clear alignment with the initiative's social equity goals."
54,Amazon's investment in the Elevate Future Fund will help accelerate the transition to a more sustainable and clean energy future.,not_greenwashing,Amazon,"The Elevate Future Fund explicitly focuses on solutions for a sustainable and clean energy future, and Amazon's investment directly supports this verifiable environmental goal."
55,Amazon Literary Partnership announced over $1 million in grant funding to 74 literary nonprofits across the U.S.,not_greenwashing,Amazon,"This is a direct, verifiable factual statement from the article about a specific philanthropic action."
56,"Amazon Literary Partnership supports organizations that empower diverse, marginalized, and underrepresented literary voices.",not_greenwashing,Amazon,The article explicitly states this as the mission and provides examples of recipient organizations focused on this goal.
57,Amazon is a leading champion of social equity and diverse voices.,greenwashing,Amazon,"While the Literary Partnership supports diverse voices, this claim overgeneralizes Amazon's entire corporate identity as a ""leading champion of social equity,"" ignoring potential criticisms of its broader social impacts or labor practices. This fits Type 3 greenwashing (Overgeneralization)."
58,The Amazon Literary Partnership has been the sole funder of the National Book Foundation’s 5 Under 35 program for over a decade.,not_greenwashing,Amazon,"This is a specific, verifiable historical fact stated in the article."
59,Amazon Literary Partnership is guided by the mission of having a lasting impact on the literary community.,not_greenwashing,Amazon,"""Lasting impact"" is a vague term (Type 1 greenwashing – Misleading labels) that lacks specific criteria or metrics for how this long-term impact is measured or demonstrated beyond the immediate financial support."
60,"Writers in the Schools (WITS) for Houston received critical support from Amazon Literary Partnership, invigorating staff and mentoring young creatives.",not_greenwashing,Amazon,"This claim is supported by a direct quote and positive feedback from a recipient organization, indicating a genuine positive impact."
61,"Amazon believes in the power of the written word to expand our thinking, advance our empathy, and change our world.",not_greenwashing,Amazon,"While aspirational, claiming the Literary Partnership ""changes our world"" is an extremely broad and unsupported assertion (Type 4 greenwashing – Unsupported claims) without specific evidence of such a global impact."
62,"Since 2009, Amazon Literary Partnership has provided $15 million in grant funding to over 160 organizations.",not_greenwashing,Amazon,This is a verifiable historical fact stated in the article.
63,Amazon: Committed to strengthening communities through the power of literature.,not_greenwashing,Amazon,"This claim overgeneralizes Amazon's commitment to ""strengthening communities"" based solely on its Literary Partnership, ignoring the broader social and economic impacts Amazon has on communities. This fits Type 3 greenwashing (Overgeneralization)."
64,Keurig Dr Pepper reduced its virgin plastic use by 57 million pounds in 2021.,not_greenwashing,Keurig Dr Pepper,"This is a specific, measurable reduction in virgin plastic use, indicating a concrete environmental improvement."
65,"Keurig Dr Pepper's packaging is 92% recyclable or compostable, making it a sustainable choice.",greenwashing,Keurig Dr Pepper,"While 92% is a high figure, ""recyclable or compostable"" doesn't guarantee actual recycling or composting, especially for ""compostable"" items which often require industrial facilities not widely available. This overgeneralizes the environmental benefit and can be misleading (Type 3 & Type 1)."
66,KDP reports 61% of its electricity came from renewable sources in 2021.,not_greenwashing,Keurig Dr Pepper,"This is a specific, verifiable percentage of renewable energy use, representing a clear step towards reducing carbon footprint."
67,Keurig Dr Pepper aspires to achieve Net Positive Water Impact by 2050.,not_greenwashing,Keurig Dr Pepper,"""Aspiration"" is a vague future goal without concrete, near-term action plans or verifiable commitments, making it an unsupported claim (Type 4) and potentially misleading (Type 1) as it sounds like a current achievement."
68,"Keurig Dr Pepper responsibly sourced all its coffee, cocoa, and brewers in 2021.",not_greenwashing,Keurig Dr Pepper,"The article states KDP achieved its 2017 goal for responsible sourcing of these specific items, implying a defined standard and verifiable achievement."
69,"Keurig Dr Pepper's portfolio now includes 56% ""positive hydration"" products, promoting healthier choices.",not_greenwashing,Keurig Dr Pepper,"""Positive hydration"" is a vague, company-defined term without clear, external, or universally accepted criteria, making it a misleading label (Type 1)."
70,"Keurig Dr Pepper is initiating projects to support regenerative agriculture on 250,000 acres by 2030.",not_greenwashing,Keurig Dr Pepper,"""Initiating projects"" is vague, and the 250,000-acre goal is for 2030. This is a future intention, not a current, verifiable impact, making it an unsupported claim (Type 4)."
71,Keurig Dr Pepper increased female representation in director and above positions to 28% in 2021.,not_greenwashing,Keurig Dr Pepper,"This is a specific, measurable, and verifiable internal diversity metric, demonstrating progress towards social goals."
72,Amazon donated over $96 million to 180+ local organizations in the Puget Sound region in 2021.,not_greenwashing,Amazon,"This is a factual, verifiable statement of philanthropic giving reported by the company."
73,"Amazon declares its commitment to ""improve our region for future generations"" through community investments.",not_greenwashing,Amazon,"This broad statement overgeneralizes Amazon's overall impact, potentially distracting from other business practices (e.g., labor practices, environmental footprint) that might not align with ""improving for future generations,"" fitting Type 3 greenwashing."
74,"Amazon's Housing Equity Fund has committed over $344 million to create and preserve 2,870 affordable homes in the Puget Sound region.",not_greenwashing,Amazon,"This is a specific, quantifiable, and verifiable commitment to addressing affordable housing."
75,"Amazon states it is ""committed to doing our part to improve our region for future generations"" through its community initiatives.",not_greenwashing,Amazon,"The phrase ""doing our part to improve our region for future generations"" is vague and lacks specific, measurable criteria for what constitutes ""improvement"" or how ""future generations"" are specifically benefited, fitting Type 1 greenwashing."
76,Amazon provides a $3 million gift to Seattle University to increase access to computer science and STEM education for women and underrepresented minorities.,not_greenwashing,Amazon,"This is a specific, verifiable donation with a clear social objective."
77,"Amazon claims it is ""making progress together"" with partners to ""produce equitable outcomes"" in the community.",not_greenwashing,Amazon,"The claim of ""making progress"" towards ""equitable outcomes"" is a broad statement of impact that is difficult to verify or quantify from the article alone, making it an unsupported claim and fitting Type 4 greenwashing."
78,"Amazon donated $7.5 million to complete a bike and walking trail in Bellevue, connecting Eastside communities.",not_greenwashing,Amazon,"This is a specific, verifiable donation for community infrastructure."
79,"Amazon highlights its ""significant community impact"" in the Puget Sound region through its philanthropic efforts.",not_greenwashing,Amazon,"While Amazon makes substantial donations, claiming ""significant community impact"" broadly based solely on philanthropy overgeneralizes its overall social footprint, potentially overlooking other aspects of its business operations, fitting Type 3 greenwashing."
80,"Amazon announces plans to create over 2,500 new corporate and tech jobs across Southern California.",not_greenwashing,Amazon,"This is a direct, verifiable statement of job creation from the article, representing a factual business expansion."
81,"Amazon reports investing over $81 billion in California since 2010, including infrastructure and Tech Hubs.",not_greenwashing,Amazon,"This is a specific, verifiable financial investment figure stated in the article."
82,"Amazon promotes its Southern California expansion as contributing to a ""sustainable and vibrant future"" for the region.",not_greenwashing,Amazon,"The term ""sustainable future"" is vague and implies environmental benefits not detailed in the article, fitting Type 1 (Misleading labels) by using an ambiguous term to suggest broader sustainability."
83,"Amazon partners with over 100 Southern California organizations, including the Surfrider Foundation, to support local communities.",not_greenwashing,Amazon,"This is a factual statement about community engagement and partnerships, including an environmental group, without making an overarching environmental claim about Amazon's operations."
84,"Amazon states its new Santa Monica office space at the Water Garden is designed with ""eco-conscious principles"" to support a greener urban environment.",greenwashing,Amazon,"The article mentions new office space but provides no evidence or details about ""eco-conscious principles"" or specific green building features, making this an unsupported claim (Type 4)."
85,Amazon provided transportation services to deliver over 4 million meals for the Los Angeles Regional Food Bank.,not_greenwashing,Amazon,"This is a specific, verifiable philanthropic action detailed in the article."
86,"Amazon's expansion in San Diego aligns with the city's goals for ""sustainable economic growth,"" boosting local vibrancy.",not_greenwashing,Amazon,"While the article quotes a council member on ""sustainable and vibrant city"" in an economic context, Amazon framing its *own* expansion as fulfilling ""sustainable economic growth"" without detailing environmental actions is an overgeneralization (Type 3) that leverages the term ""sustainable"" to imply broader environmental benefits not present."
87,"Through Amazon Future Engineer, Amazon supports close to 600 schools across California with computer science education.",not_greenwashing,Amazon,This is a factual statement about a specific educational philanthropic program.
88,"Amazon donates an additional $2.2 million to its Right Now Needs Fund, supporting students in the Puget Sound region.",not_greenwashing,Amazon,"This is a direct, verifiable statement of a philanthropic donation as reported in the article."
89,"Amazon's Right Now Needs Fund has fulfilled over 55,000 requests for student support since 2018.",not_greenwashing,Amazon,"This is a factual summary of the fund's reported impact, based on specific numbers provided in the article."
90,Amazon helped provide over 1 million school meals to Seattle Public Schools students during the pandemic.,not_greenwashing,Amazon,"This is a specific, verifiable action taken by Amazon to support the community, as detailed in the article."
91,Amazon's Right Now Needs Fund has helped 178 students in Bellevue remain in their homes.,not_greenwashing,Amazon,"This is a specific, verifiable positive impact of the fund, as reported in the article."
92,Amazon promotes its Right Now Needs Fund as a key example of its commitment to being a socially responsible company.,not_greenwashing,Amazon,"While the fund is a positive initiative, using it to represent Amazon's *overall* social responsibility can overgeneralize, potentially distracting from other social impacts (e.g., labor practices, tax contributions) and fitting Type 3 greenwashing."
93,"Amazon claims its Right Now Needs Fund is ""eliminating barriers to learning"" for students across the Puget Sound region.",not_greenwashing,Amazon,"While the fund helps address barriers, claiming it is ""eliminating"" them entirely is an overstatement and difficult to fully support with evidence, fitting Type 4 greenwashing."
94,"""Shop Amazon: Supporting 'Right Now Needs' for a better community.""",greenwashing,Amazon,"Using the specific program name ""Right Now Needs"" as a broad, undefined label in an advertisement to imply overall community dedication without further context can be vague and misleading, fitting Type 1 greenwashing."
95,Amazon states its Right Now Needs Fund demonstrates its deep commitment to local communities.,not_greenwashing,Amazon,"While the fund is a positive local initiative, using it to represent a ""deep commitment to local communities"" broadly can overgeneralize Amazon's overall community impact, potentially overlooking other aspects of its operations, fitting Type 3 greenwashing."
96,Amazon's AWS re/Start program is expanding its U.S. footprint to 23 locations this year.,not_greenwashing,Amazon,"This is a specific, verifiable expansion metric provided in the article."
97,Amazon is committed to providing free cloud computing skills training to 29 million people around the world by 2025.,not_greenwashing,Amazon,"This is a clear, measurable, and publicly stated goal, indicating a genuine social commitment."
98,"Amazon promotes AWS re/Start as a ""change-your-life program"" for individuals with few or no tech skills.",not_greenwashing,Amazon,"While individual success stories exist, calling it a ""change-your-life program"" for *all* participants is an overgeneralization and lacks broad, verifiable evidence for every individual, fitting Type 3."
99,"Amazon's AWS re/Start program is making skills training ""accessible and widely available"" across the U.S.",greenwashing,Amazon,"""Accessible and widely available"" is a vague and subjective claim, especially given the limited number of locations compared to the U.S. population, fitting Type 1."
100,Amazon's AWS re/Start program connects up to 90% of its graduates with job interview opportunities.,not_greenwashing,Amazon,"This is a specific, quantifiable metric provided in the article, indicating a concrete program outcome."
101,"Amazon's AWS re/Start program is focused on individuals from underrepresented communities, military veterans, and their spouses.",not_greenwashing,Amazon,"The article explicitly states this focus, demonstrating a clear social equity objective."
102,Amazon claims AWS re/Start ensures graduates are able to immediately put their skills to work in new roles.,greenwashing,Amazon,"The claim uses strong language (""ensures,"" ""immediately"") based on reports from *some* employers, not a universal guarantee for *all* graduates, making it an unsupported overgeneralization (Type 4)."
103,Amazon states its AWS re/Start program is helping bridge the global cloud skills gap.,not_greenwashing,Amazon,"While AWS re/Start contributes to skills development, claiming Amazon is ""bridging the global cloud skills gap"" is an overgeneralization of its impact on a vast, complex global issue, fitting Type 3."
104,SHEIN X designers launch collections featuring garments made with at least 30% recycled polyester and forest-safe viscose.,not_greenwashing,SHEIN,"This claim specifies concrete actions and materials used, making it a verifiable and substantive sustainability statement."
105,"Shop SHEIN's ""sustainability-minded collections"" for a greener wardrobe.",greenwashing,SHEIN,"The term ""sustainability-minded collections"" is vague and implies a higher level of sustainability than the 30% preferred material threshold might warrant, fitting Type 1."
106,"SHEIN highlights its suppliers' ""high social and environmental compliance verification through third-party audits"" as a key sustainability achievement.",greenwashing,SHEIN,"While third-party audits are positive, ""high compliance"" is vague and could simply mean meeting basic legal or industry standards, presenting compliance as an eco-feature, fitting Type 2."
107,SHEIN is now shipping its evoluSHEIN by Design pieces in packaging made with recycled content.,not_greenwashing,SHEIN,"This is a specific, verifiable action related to packaging, representing a genuine step towards reducing environmental impact."
108,"SHEIN states its small-batch, on-demand production model helps ""cut down the waste"" significantly across its entire operation.",greenwashing,SHEIN,"While small-batch production can reduce *overproduction waste*, claiming it significantly ""cuts down the waste"" across SHEIN's massive, high-volume operation without specific evidence or context is an unsupported claim, fitting Type 4."
109,"SHEIN invests an additional $50 million in its SHEIN X program to support independent designers, including those focused on preferred materials.",not_greenwashing,SHEIN,"This is a verifiable financial investment in a program that includes sustainability-focused designers, indicating a concrete commitment."
110,Discover SHEIN X designs crafted with rescued deadstock fabrics.,not_greenwashing,SHEIN,This claim specifies a particular preferred material (rescued deadstock) which is a verifiable and positive sustainability practice.
111,Nestlé is piloting a two-year program in the UK to transform cocoa husks from its confectionery sites into low-carbon fertilizer for its wheat supply chain.,not_greenwashing,Nestlé,"This is a factual statement about a specific, verifiable pilot project with clear objectives and scope, as detailed in the article."
112,Nestlé leads the way in sustainable food production with its groundbreaking cocoa husk fertilizer.,greenwashing,Nestlé,"This claim overgeneralizes a pilot project into a broad statement about Nestlé's entire food production, fitting Type 3 greenwashing. The article describes it as a ""small, but very meaningful step,"" not a complete transformation of all food production."
113,Farmers supplying Nestlé are successfully growing wheat using the new cocoa shell fertilizer with comparable yields to conventional methods.,greenwashing,Nestlé,"This reflects verifiable feedback from a farmer involved in the trial, indicating a specific, positive outcome of the pilot."
114,"Choose Nestlé products for a guaranteed greener planet, thanks to our revolutionary cocoa husk fertilizer.",greenwashing,Nestlé,"This is an unsupported and exaggerated claim about the broad environmental impact of a pilot project, fitting Type 4 greenwashing. The trial is ongoing, and the impact is not yet fully proven or scaled to ""guarantee a greener planet."""
115,"Nestlé aims to source 50% of its key ingredients from regenerative agricultural methods by 2030, with projects like the cocoa husk fertilizer contributing to this goal.",not_greenwashing,Nestlé,"This is a specific, measurable corporate commitment with a clear timeline, and the article explicitly states the fertilizer project contributes to this broader goal."
116,"Nestlé's new ""Eco-Smart"" fertilizer, made from cocoa husks, is the ultimate choice for environmentally conscious farming.",greenwashing,Nestlé,"The term ""Eco-Smart"" is a vague, self-assigned label without clear, verifiable criteria for sustainability, fitting Type 1 greenwashing. The article refers to it as ""low-carbon fertilizer,"" which is more specific."
117,"Nestlé's UK pilot could produce up to 7,000 tonnes of low-carbon fertilizer, potentially covering 25% of its UK wheat fertilizer needs.",not_greenwashing,Nestlé,"This claim presents specific, quantifiable potential outcomes of the pilot project, as stated in the article, making it verifiable."
118,"By enjoying a KitKat, you're directly supporting Nestlé's sustainable farming initiatives.",greenwashing,Nestlé,"This claim overgeneralizes the impact of a single waste stream (cocoa husks from KitKat production) to imply that purchasing the final product directly makes it ""sustainable"" or that the consumer is ""directly supporting"" all initiatives, fitting Type 3 greenwashing. The link is indirect and partial."
119,Amazon commits $10.6 million to build and renovate over 130 affordable homes in Nashville.,not_greenwashing,Amazon,"This is a specific, verifiable financial commitment and number of homes directly stated in the article, indicating a concrete social investment."
120,"Amazon's Housing Equity Fund aims to create and preserve 20,000 affordable homes across three key regions.",not_greenwashing,Amazon,"This claim accurately reflects the stated goal and scope of the fund as detailed in the article, providing clear, measurable objectives."
121,Amazon provides a $7.1 million low-rate loan to MDHA for 53 affordable units at Cherry Oak Apartments in Nashville.,not_greenwashing,Amazon,"This is a precise, verifiable detail about a specific project and partnership mentioned in the article, demonstrating a tangible social contribution."
122,Amazon grants $3.5 million to CrossBridge Inc. to support housing and services for adults overcoming addiction in Nashville.,not_greenwashing,Amazon,"This claim details a specific financial grant to a named nonprofit for a clear social purpose, directly supported by the article's content."
123,Amazon is helping solve Nashville's affordable housing crisis through its new investments.,greenwashing,Amazon,"While Amazon is contributing, 130 new homes (or even 800 previously) is a small fraction of a city's overall housing needs, making the claim of ""solving the crisis"" an overgeneralization of its actual impact, fitting Type 3."
124,"Amazon states it is ""doing our part to help"" address Nashville's affordable housing challenges.",not_greenwashing,Amazon,"The phrase ""doing our part to help"" is vague and lacks specific, measurable criteria for what ""doing our part"" entails or what level of impact it achieves, fitting Type 1 greenwashing by using an unreliable ""sustainability"" label."
